18181;Apalis;cinerea;Grey Apalis;cinerea;Allen T. Chartier;Kenya;Naro Moru River Lodge;-0.18333;37.08333;Song;Apalis_cinerea_cinerea_KE-NaroMoru_20000713_S1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Apalis_cinerea_cinerea_KE-NaroMoru_20000713_S1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Apalis_cinerea_cinerea_KE-NaroMoru_20000713_S1_ATC.png
75808;Apalis;cinerea;Grey Apalis;;Jason Anderson;Rwanda;Parike Wood, near Kibungo, SE Rwanda;-2.1098;30.5101;Several birds;Grey Apalis Rw 01.mp3;http://www.xeno-canto.org/sounds/uploaded/VOEGHWZWDL/Grey Apalis Rw 01.mp3;http://www.xeno-canto.org/sounds/uploaded/VOEGHWZWDL/ffts/tb/Grey Apalis Rw 01.png
75809;Apalis;cinerea;Grey Apalis;;Jason Anderson;Rwanda;Parike Wood, near Kibungo, SE Rwanda;-2.1098;30.5101;Several birds;Grey Apalis Rw 02.mp3;http://www.xeno-canto.org/sounds/uploaded/VOEGHWZWDL/Grey Apalis Rw 02.mp3;http://www.xeno-canto.org/sounds/uploaded/VOEGHWZWDL/ffts/tb/Grey Apalis Rw 02.png
99207;Apalis;cinerea;Grey Apalis;sclateri;Mike Nelson;Cameroon;Mt Cameroon;4.1939;9.2009;Song;GreyApalis1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyApalis1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyApalis1.png
99208;Apalis;cinerea;Grey Apalis;sclateri;Mike Nelson;Cameroon;Mt Cameroon;4.1939;9.2009;Song;GreyApalis2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyApalis2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyApalis2.png
99209;Apalis;cinerea;Grey Apalis;sclateri;Mike Nelson;Cameroon;Mt Cameroon;4.1939;9.2009;Song;GreyApalis3.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyApalis3.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyApalis3.png
99210;Apalis;cinerea;Grey Apalis;sclateri;Mike Nelson;Cameroon;Mt Cameroon;4.1939;9.2009;Song;GreyApalis4.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyApalis4.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyApalis4.png
99211;Apalis;cinerea;Grey Apalis;sclateri;Mike Nelson;Cameroon;Mt Cameroon;4.1939;9.2009;Song;GreyApalis5.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyApalis5.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyApalis5.png
99212;Apalis;cinerea;Grey Apalis;funebris;Mike Nelson;Cameroon;Kilum Ijim Protected Area, Lake Oku;6.1828;10.4639;Song;GreyApalis6.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyApalis6.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyApalis6.png
99213;Apalis;cinerea;Grey Apalis;funebris;Mike Nelson;Cameroon;Kilum Ijim Protected Area, Lake Oku;6.1828;10.4639;Song;GreyApalis7.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyApalis7.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyApalis7.png
99214;Apalis;cinerea;Grey Apalis;funebris;Mike Nelson;Cameroon;Kilum Ijim Protected Area, Lake Oku;6.1828;10.4639;Song;GreyApalis8.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyApalis8.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyApalis8.png
99215;Apalis;cinerea;Grey Apalis;funebris;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song;GreyApalis9.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyApalis9.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyApalis9.png
99216;Apalis;cinerea;Grey Apalis;funebris;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Call;GreyApalis91.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyApalis91.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyApalis91.png
99217;Apalis;cinerea;Grey Apalis;funebris;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Call;GreyApalis92.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyApalis92.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyApalis92.png
99218;Apalis;cinerea;Grey Apalis;funebris;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Call/song;GreyApalis93.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/GreyApalis93.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/GreyApalis93.png
