62951;Oreolais;pulcher;Black-collared Apalis;;Peter Woodall;Kenya;Naiberi River Camp;0.4484;35.4226;call;BltApa-20100905_110515.mp3;http://www.xeno-canto.org/sounds/uploaded/SILWLBBIFA/BltApa-20100905_110515.mp3;http://www.xeno-canto.org/sounds/uploaded/SILWLBBIFA/ffts/tb/BltApa-20100905_110515.png
99000;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Kilum Ijim Protected Area, Lake Oku;6.1828;10.4639;Song;BlackcollaredApalis1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/BlackcollaredApalis1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/BlackcollaredApalis1.png
99001;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Kilum Ijim Protected Area, Lake Oku;6.1828;10.4639;Song;BlackcollaredApalis2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/BlackcollaredApalis2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/BlackcollaredApalis2.png
99002;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song;BlackcollaredApalis3.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/BlackcollaredApalis3.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/BlackcollaredApalis3.png
99003;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Kilum Ijim Protected Area, Lake Oku;6.1828;10.4639;Song;BlackcollaredApalis4.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/BlackcollaredApalis4.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/BlackcollaredApalis4.png
99004;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song;BlackcollaredApalis6.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/BlackcollaredApalis6.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/BlackcollaredApalis6.png
99005;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song;BlackcollaredApalis7.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/BlackcollaredApalis7.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/BlackcollaredApalis7.png
99006;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song;BlackcollaredApalis8.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/BlackcollaredApalis8.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/BlackcollaredApalis8.png
99007;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song;BlackcollaredApalis9.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/BlackcollaredApalis9.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/BlackcollaredApalis9.png
99008;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song/call;BlackcollaredApalis91.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/BlackcollaredApalis91.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/BlackcollaredApalis91.png
99009;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song;BlackcollaredApalis92.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/BlackcollaredApalis92.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/BlackcollaredApalis92.png
