48374;Saxicola;torquatus;African Stonechat;;Marcell Claassen;Rwanda;Sabinyo Silverback Lodge, Kinigi;-1.409;29.577;song;AfricanStonechat.mp3;http://www.xeno-canto.org/sounds/uploaded/AAIESTNDCJ/AfricanStonechat.mp3;http://www.xeno-canto.org/sounds/uploaded/AAIESTNDCJ/ffts/tb/AfricanStonechat.png
57847;Saxicola;torquatus;African Stonechat;stonei;Charles Hesse;South Africa;Suikerbosrand Nature Reserve;-26.516;28.229;Call;043AFSTC0912201136SASU2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/043AFSTC0912201136SASU2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/ffts/tb/043AFSTC0912201136SASU2.png
91978;Saxicola;torquatus;African Stonechat;;Martin St-Michel;Tanzania;Udekwa ranger station;-7.639;36.42;Call;Common Stonechat (Udekwa-2011-10-31-06h12) LS110367.mp3;http://www.xeno-canto.org/sounds/uploaded/WOPORNCCSX/Common Stonechat (Udekwa-2011-10-31-06h12) LS110367.mp3;http://www.xeno-canto.org/sounds/uploaded/WOPORNCCSX/ffts/tb/Common Stonechat (Udekwa-2011-10-31-06h12) LS110367.png
93571;Saxicola;torquatus;African Stonechat;;Martin St-Michel;Tanzania;Udekwa ranger station;-7.6389;36.4201;Call;Stonechat (Udekwa-2011-10-28-06h56) LS110289.mp3;http://www.xeno-canto.org/sounds/uploaded/WOPORNCCSX/Stonechat (Udekwa-2011-10-28-06h56) LS110289.mp3;http://www.xeno-canto.org/sounds/uploaded/WOPORNCCSX/ffts/tb/Stonechat (Udekwa-2011-10-28-06h56) LS110289.png
98907;Saxicola;torquatus;African Stonechat;salax;Mike Nelson;Cameroon;Kilum Ijim Protected Area, Lake Oku;6.183;10.464;Call;AfricanStonechat1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/AfricanStonechat1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/AfricanStonechat1.png
98908;Saxicola;torquatus;African Stonechat;salax;Mike Nelson;Cameroon;Kilum Ijim Protected Area, Lake Oku;6.183;10.464;Call;AfricanStonechat2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/AfricanStonechat2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/AfricanStonechat2.png
98909;Saxicola;torquatus;African Stonechat;salax;Mike Nelson;Cameroon;Kilum Ijim Protected Area, Lake Oku;6.183;10.464;Call;AfricanStonechat3.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/AfricanStonechat3.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/AfricanStonechat3.png
98910;Saxicola;torquatus;African Stonechat;salax;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song;AfricanStonechat4.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/AfricanStonechat4.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/AfricanStonechat4.png
98911;Saxicola;torquatus;African Stonechat;salax;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song;AfricanStonechat5.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/AfricanStonechat5.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/AfricanStonechat5.png
98912;Saxicola;torquatus;African Stonechat;salax;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Call;AfricanStonechat6.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/AfricanStonechat6.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/AfricanStonechat6.png
98913;Saxicola;torquatus;African Stonechat;salax;Mike Nelson;Cameroon;Lake Awing, Bamenda Highlands;5.862;10.197;Song;AfricanStonechat7.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/AfricanStonechat7.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/AfricanStonechat7.png
98914;Saxicola;torquatus;African Stonechat;salax;Mike Nelson;Cameroon;Lake Awing, Bamenda Highlands;5.862;10.197;Song;AfricanStonechat8.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/AfricanStonechat8.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/AfricanStonechat8.png
98915;Saxicola;torquatus;African Stonechat;salax;Mike Nelson;Cameroon;Lake Awing, Bamenda Highlands;5.862;10.197;Song;AfricanStonechat9.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/AfricanStonechat9.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/AfricanStonechat9.png
