1969;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;igniventris;Sjoerd Mayer;Bolivia;Cotapata Trail (behind the petrol station), La Paz;-16.283;-67.883;Song in flight
3162;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;igniventris;A. Bennett Hennessey;Bolivia;Corani high, Cochabamba;-17.2;-65.883;Calls
9276;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Allen T. Chartier;Ecuador;Reserva Pasachoa, Pichincha;-0.4323;-78.5045;Calls
9277;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Allen T. Chartier;Ecuador;Reserva Pasachoa, Pichincha;-0.4323;-78.5045;Song
9278;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Allen T. Chartier;Ecuador;Reserva Pasachoa, Pichincha;-0.4323;-78.5045;Song, calls
9279;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Allen T. Chartier;Ecuador;Reserva Pasachoa, Pichincha;-0.4323;-78.5045;Song, calls
9280;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Allen T. Chartier;Ecuador;Reserva Pasachoa, Pichincha;-0.4323;-78.5045;Song, calls
9281;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Allen T. Chartier;Ecuador;Reserva Pasachoa, Pichincha;-0.4323;-78.5045;Song, calls
9741;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Allen T. Chartier;Ecuador;Yanacocha Reserve, Pichincha;-0.1667;-78.5834;Call
9742;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Allen T. Chartier;Ecuador;Yanacocha Reserve, Pichincha;-0.1667;-78.5834;Calls
9743;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Allen T. Chartier;Ecuador;Yanacocha Reserve, Pichincha;-0.1667;-78.5834;Calls
9744;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Allen T. Chartier;Ecuador;Yanacocha Reserve, Pichincha;-0.1667;-78.5834;Calls
9745;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Allen T. Chartier;Ecuador;Yanacocha Reserve, Pichincha;-0.1667;-78.5834;Song
9746;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Allen T. Chartier;Ecuador;Yanacocha Reserve, Pichincha;-0.1667;-78.5834;Song, calls
9747;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Allen T. Chartier;Ecuador;Yanacocha Reserve, Pichincha;-0.1667;-78.5834;Song, calls
11218;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Doug Knapp;Colombia;Bogota, Quebrada la Vieja;4.6231;-74.0562;Song
12452;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Oscar Laverde;Colombia;PNN Chingaza, Sector monteredonde;4.5167;-73.7501;song
12453;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Oscar Laverde;Colombia;PNN Chingaza, Sector monteredonde;4.5167;-73.7501;song
12458;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Oscar Laverde;Colombia;PNN Chingaza, Sector monteredonde;4.5167;-73.7501;song
12547;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Oscar Laverde;Colombia;PNN Chingaza, sector Palacio;4.5167;-73.7501;song
14528;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Oswaldo Cortes;Colombia;Fusagasuga, Vereda San Miguel,  cerca al nacimiento del rio Chocho;4.01;-74.01;song
16227;Anisognathus;igniventris;Scarlet-bellied Mountain Tanager;;Niels Krabbe;Bolivia;Between C. Pucar Pata and C. Khora Pampa. Ayopaya. (Cochabamba);-16.9501;-66.8334;Song Calls
