18687;Mino;dumontii;Yellow-faced Myna;dumontii;Nick Athanas;Papua New Guinea;Elevala River, Western Province;-6.0834;141.5001;calls
22534;Mino;dumontii;Yellow-faced Myna;;Mike Catsis;Papua New Guinea;Varirata National Park, National Capital District;-9.4667;147.3834;Call
24639;Mino;dumontii;Yellow-faced Myna;krefti;Frank Lambert;Papua New Guinea;New Ireland, Bismarck Archipelago;-3.3334;152.01;song
24814;Mino;dumontii;Yellow-faced Myna;;Niels Krabbe;Papua New Guinea;'Bluff Inn Motel', mile 17 from Port Moresby on Sogeri road;-9.4001;147.3167;call
24815;Mino;dumontii;Yellow-faced Myna;;Niels Krabbe;Papua New Guinea;'Bluff Inn Motel', mile 17 from Port Moresby on Sogeri road;-9.4001;147.3167;call
24816;Mino;dumontii;Yellow-faced Myna;;Niels Krabbe;Papua New Guinea;'Bluff Inn Motel', mile 17 from Port Moresby on Sogeri road;-9.4001;147.3167;calls of 2 birds
24817;Mino;dumontii;Yellow-faced Myna;;Niels Krabbe;Papua New Guinea;'Bluff Inn Motel', mile 17 from Port Moresby on Sogeri road;-9.4001;147.3167;calls
32995;Mino;dumontii;Yellow-faced Myna;kreffti;Niels Krabbe;Solomon Islands;Mt Austen, Guadalcanal;-9.4834;159.9834;calls
32996;Mino;dumontii;Yellow-faced Myna;kreffti;Niels Krabbe;Solomon Islands;Mt Austen, Guadalcanal;-9.4834;159.9834;calls
32997;Mino;dumontii;Yellow-faced Myna;kreffti;Niels Krabbe;Solomon Islands;Mt Austen, Guadalcanal;-9.4834;159.9834;calls
32998;Mino;dumontii;Yellow-faced Myna;kreffti;Niels Krabbe;Solomon Islands;Mt Austen, Guadalcanal;-9.4834;159.9834;calls
32999;Mino;dumontii;Yellow-faced Myna;kreffti;Niels Krabbe;Solomon Islands;Mt Austen, Guadalcanal;-9.4834;159.9834;calls
33000;Mino;dumontii;Yellow-faced Myna;kreffti;Niels Krabbe;Solomon Islands;Mt Austen, Guadalcanal;-9.4834;159.9834;calls
33001;Mino;dumontii;Yellow-faced Myna;kreffti;Niels Krabbe;Solomon Islands;Mt Austen, Guadalcanal;-9.4834;159.9834;calls
33002;Mino;dumontii;Yellow-faced Myna;kreffti;Niels Krabbe;Solomon Islands;Mt Austen, Guadalcanal;-9.4834;159.9834;calls
33003;Mino;dumontii;Yellow-faced Myna;kreffti;Niels Krabbe;Solomon Islands;Mt Austen, Guadalcanal;-9.4834;159.9834;calls
38286;Mino;dumontii;Yellow-faced Myna;kreffti - LONG-TAILED MYNA;Frank Lambert;Papua New Guinea;Kilu Ridge, Kimbe Bay, New Britain;5.4214;150.0653;song
38287;Mino;dumontii;Yellow-faced Myna;kreffti - LONG-TAILED MYNA;Frank Lambert;Papua New Guinea;Kilu Ridge, Kimbe Bay, New Britain;5.4214;150.0653;song
38288;Mino;dumontii;Yellow-faced Myna;kreffti;Frank Lambert;Papua New Guinea;Pokili Reserve, New Britain, Bismarck Archipelago;-5.5998;150.6331;song
41016;Mino;dumontii;Yellow-faced Myna;;Patrik Åberg;Indonesia;Nimbokrang, Papua, New Guinea;-2.551503;140.650234;Call
85820;Mino;dumontii;Yellow-faced Myna;;Iain Woxvold;Papua New Guinea;Paupe, Frieda River, East Sepik Province;-4.5456;141.9598;Song
