48374;Saxicola;torquatus;African Stonechat;;Marcell Claassen;Rwanda;Sabinyo Silverback Lodge, Kinigi;-1.409;29.577;song
57847;Saxicola;torquatus;African Stonechat;stonei;Charles Hesse;South Africa;Suikerbosrand Nature Reserve;-26.516;28.229;Call
91978;Saxicola;torquatus;African Stonechat;;Martin St-Michel;Tanzania;Udekwa ranger station;-7.639;36.42;Call
93571;Saxicola;torquatus;African Stonechat;;Martin St-Michel;Tanzania;Udekwa ranger station;-7.6389;36.4201;Call
98907;Saxicola;torquatus;African Stonechat;salax;Mike Nelson;Cameroon;Kilum Ijim Protected Area, Lake Oku;6.183;10.464;Call
98908;Saxicola;torquatus;African Stonechat;salax;Mike Nelson;Cameroon;Kilum Ijim Protected Area, Lake Oku;6.183;10.464;Call
98909;Saxicola;torquatus;African Stonechat;salax;Mike Nelson;Cameroon;Kilum Ijim Protected Area, Lake Oku;6.183;10.464;Call
98910;Saxicola;torquatus;African Stonechat;salax;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song
98911;Saxicola;torquatus;African Stonechat;salax;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song
98912;Saxicola;torquatus;African Stonechat;salax;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Call
98913;Saxicola;torquatus;African Stonechat;salax;Mike Nelson;Cameroon;Lake Awing, Bamenda Highlands;5.862;10.197;Song
98914;Saxicola;torquatus;African Stonechat;salax;Mike Nelson;Cameroon;Lake Awing, Bamenda Highlands;5.862;10.197;Song
98915;Saxicola;torquatus;African Stonechat;salax;Mike Nelson;Cameroon;Lake Awing, Bamenda Highlands;5.862;10.197;Song
