62951;Oreolais;pulcher;Black-collared Apalis;;Peter Woodall;Kenya;Naiberi River Camp;0.4484;35.4226;call
99000;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Kilum Ijim Protected Area, Lake Oku;6.1828;10.4639;Song
99001;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Kilum Ijim Protected Area, Lake Oku;6.1828;10.4639;Song
99002;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song
99003;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Kilum Ijim Protected Area, Lake Oku;6.1828;10.4639;Song
99004;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song
99005;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song
99006;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song
99007;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song
99008;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song/call
99009;Oreolais;pulcher;Black-collared Apalis;pulcher;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song
